id,hotel_name,address,Latitude,Longitude,price_range,関連サイト,charger_type,charger_count,出力,最大電流値,種別,充電課金,駐車料金,連絡・申込,事前予約,メーカー,認証,備考,image_url,affiliate_url,lat_lng
1536,金太郎温泉 日帰り温泉 カルナの館  /  (株)金太郎温泉,富山県魚津市天神野新6000,36.8392596,137.4367844,"16,728円〜（消費税込18,400円〜）",https://www.kintarouonsen.co.jp/karuna/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=32062,https://travel.rakuten.co.jp/HOTEL/32062/32062.html,"36.8392596,36.8392596"
1537,ふくみつ華山温泉,富山県南砺市川西588-1,36.5727873,136.8577379,"12,500円〜（消費税込13,750円〜）",https://www.hanayama-onsen.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=15063,https://travel.rakuten.co.jp/HOTEL/15063/15063.html,"36.5727873,36.5727873"
1538,金太郎温泉 光風閣  /  (株)金太郎温泉,富山県魚津市天神野新6000,36.8392596,137.4367844,"16,728円〜（消費税込18,400円〜）",https://www.kintarouonsen.co.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=32062,https://travel.rakuten.co.jp/HOTEL/32062/32062.html,"36.8392596,36.8392596"
1539,黒部峡谷 宇奈月温泉 延楽  /  (株)延楽,富山県黒部市宇奈月温泉347-1,36.8179637,137.5834752,"29,000円〜（消費税込31,900円〜）",https://www.enraku.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=10719,https://travel.rakuten.co.jp/HOTEL/10719/10719.html,"36.8179637,36.8179637"
1540,ホテルマイステイズ金沢キャッスル  /  アイコニア･ホスピタリティ(株),石川県金沢市此花町10-17,36.5782647,136.6525004,"2,000円〜（消費税込2,200円〜）",https://www.mystays.com/hotel-mystays-kanazawa-castle-ishikawa/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=175,https://travel.rakuten.co.jp/HOTEL/175/175.html,"36.5782647,36.5782647"
1541,ホテルマイステイズプレミア金沢  /  アイコニア･ホスピタリティ(株),石川県金沢市広岡2-13-5,36.5798578,136.6434158,,https://www.mystays.com/hotel-mystays-premier-kanazawa-ishikawa/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"36.5798578,36.5798578"
1542,大江戸温泉物語 Premium 山下家 (P1)  /  大江戸温泉物語ホテルズ&リゾーツ(株),石川県加賀市山代温泉124,36.2903387,136.3621086,,https://www.ooedoonsen.jp/yamashitaya/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"36.2903387,36.2903387"
1543,金沢マンテンホテル駅前  /  マンテンホテル(株),石川県金沢市北安江1-6-1,36.5815916,136.6498044,"3,637円〜（消費税込4,000円〜）",https://www.manten-hotel.com/kanazawa/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=2199,https://travel.rakuten.co.jp/HOTEL/2199/2199.html,"36.5815916,36.5815916"
1544,森の栖 リゾート＆スパ,石川県加賀市山代温泉14-27,36.2896264,136.3649936,"6,000円〜（消費税込6,600円〜）",https://morinosumika.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=17927,https://travel.rakuten.co.jp/HOTEL/17927/17927.html,"36.2896264,36.2896264"
1545,吉田屋 山王閣  /  (株)吉田屋,石川県加賀市山代温泉13-1,36.2880982,136.364261,"9,000円〜（消費税込9,900円〜）",https://www.sannoukaku.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=11043,https://travel.rakuten.co.jp/HOTEL/11043/11043.html,"36.2880982,36.2880982"
